"","","",""
"","순서","단어","뜻"
"","252","free","자유로운"
"","253","fresh","신선한"
"","254","friend","친구"
"","255","from","로부터"
"","256","front","앞부분, 앞에"
"","257","fruit","과일"
"","258","full","가득찬"
"","259","fun","즐거움,재미"
"","260","game","시합,게임"
"","261","garden","정원"
"","262","gas","가스"
"","263","gate","대문"
"","264","gentle","부드러운"
"","265","get","얻다, 받다"
"","266","girl","소녀"
"","267","give","주다"
"","268","glad","기쁜"
"","269","glass","유리"
"","270","glove","장갑"
"","271","go","가다"
"","272","God","신"
"","273","gold","금"
"","274","good","좋은"
"","275","grandmother","할머니"
"","276","grape","포도"
"","277","grass","잔듸"
"","278","gray","회색의"
"","279","great","위대한, 큰"
"","280","green","녹색의"
"","281","ground","운동장, 땅"
"","282","group","그룹, 무리"
"","283","grow","자라다, 키우다"
"","284","guitar","기타"
"","285","hair","머리카락"
"","286","half","반, 1/2"
"","287","hall","회관, 홀, 복도"
"","288","hamburger","햄버거"
"","289","hand","손"
"","290","handle","다루다, 손잡이"
"","291","happen","일어나다, 발생하다"
"","292","happy","행복한"
"","293","hard","단단한, 열심히"
"","294","hat","모자"
"","295","hate","미워하다"
"","296","have","가지다"
"","297","he","그, 그는"
"","298","head","머리"
"","299","hear","듣다"
"","300","heart","마음"
"","301","heavy","무거운"
"","302","hello","안녕"
"","303","help","돕다"
"","304","hen","암탉"
"","305","here","여기"
"","306","hi","안녕"
"","307","hide","숨다"
"","308","high","높은"
"","309","hiking","하이킹,도보여행"
"","310","hill","언덕"
"","311","hit","치다, 때리다"
"","312","hold","잡다"
"","313","hole","구멍"
"","314","holiday","휴일"
"","315","home","집"
"","316","hope","바라다, 희망"
"","317","horse","말"
"","318","hose","긴양말, 스타킹"
"","319","hospital","병원"
"","320","hot","더운, 뜨거운"
"","321","hotel","호텔"
"","322","hour","시간"
"","323","house","집"
"","324","how","어떻게"
"","325","hundred","백"
"","326","hungry","배고픈"
"","327","hurry","서두르다"
"","328","hurt","다치게 하다"
"","329","I","나(는)"
"","330","ice","얼음"
"","331","idea","생각,아이디어"
"","332","if","만약~한다면"
"","333","ill","병난, 아픈"
"","334","in","~안에"
"","335","ink","잉크"
"","336","interest","재미있는"
"","337","into","~안으로"
"","338","introduce","소개하다"
"","339","island","섬"
"","340","it","그것"
"","341","job","일"
"","342","join","결합하다"
"","343","juice","주스"
"","344","jump","뛰다"
"","345","jungle","정글"
"","346","just","단지"
"","347","keep","지키다, 유지하다"
